note,octave,f440,f432
A,0,27.5,27.00
A# Bb,0,29.1353,28.61
B,0,30.8677,30.31
C,1,32.7032,32.11
C# Db,1,34.6479,34.02
D,1,36.7081,36.04
D# Eb,1,38.8909,38.18
E,1,41.2035,40.45
F,1,43.6536,42.86
F# Gb,1,46.2493,45.41
G,1,48.9995,48.11
G# Ab,1,51.913,50.97
A,1,55,54.00
A# Bb,1,58.2705,57.21
B,1,61.7354,60.61
C,2,65.4064,64.22
C# Db,2,69.2957,68.04
D,2,73.4162,72.08
D# Eb,2,77.7817,76.37
E,2,82.4069,80.91
F,2,87.3071,85.72
F# Gb,2,92.4986,90.82
G,2,97.9989,96.22
G# Ab,2,103.826,101.94
A,2,110,108.00
A# Bb,2,116.541,114.42
B,2,123.471,121.23
C,3,130.813,128.43
C# Db,3,138.591,136.07
D,3,146.832,144.16
D# Eb,3,155.563,152.74
E,3,164.814,161.82
F,3,174.614,171.44
F# Gb,3,184.997,181.63
G,3,195.998,192.43
G# Ab,3,207.652,203.88
A,3,220,216.00
A# Bb,3,233.082,228.84
B,3,246.942,242.45
C,4,261.626,256.87
C# Db,4,277.183,272.14
D,4,293.665,288.33
D# Eb,4,311.127,305.47
E,4,329.628,323.63
F,4,349.228,342.88
F# Gb,4,369.994,363.27
G,4,391.995,384.87
G# Ab,4,415.305,407.75
A,4,440,432.00
A# Bb,4,466.164,457.69
B,4,493.883,484.90
C,5,523.251,513.74
C# Db,5,554.365,544.29
D,5,587.33,576.65
D# Eb,5,622.254,610.94
E,5,659.255,647.27
F,5,698.456,685.76
F# Gb,5,739.989,726.53
G,5,783.991,769.74
G# Ab,5,830.609,815.51
A,5,880,864.00
A# Bb,5,932.328,915.38
B,5,987.767,969.81
C,6,1046.5,1027.47
C# Db,6,1108.73,1088.57
D,6,1174.66,1153.30
D# Eb,6,1244.51,1221.88
E,6,1318.51,1294.54
F,6,1396.91,1371.51
F# Gb,6,1479.98,1453.07
G,6,1567.98,1539.47
G# Ab,6,1661.22,1631.01
A,6,1760,1728.00
A# Bb,6,1864.66,1830.75
B,6,1975.53,1939.61
C,7,2093,2054.95
C# Db,7,2217.46,2177.14
D,7,2349.32,2306.60
D# Eb,7,2489.02,2443.76
E,7,2637.02,2589.07
F,7,2793.83,2743.03
F# Gb,7,2959.96,2906.14
G,7,3135.96,3078.95
G# Ab,7,3322.44,3262.03
A,7,3520,3456.00
A# Bb,7,3729.31,3661.50
B,7,3951.07,3879.23
C,8,4186.01,4109.90
C# Db,8,4434.92,4354.29
D,8,4698.63,4613.21
D# Eb,8,4978.03,4887.52
E,8,5274.04,5178.15
F,8,5587.65,5486.06
F# Gb,8,5919.91,5812.28
G,8,6271.93,6157.89
G# Ab,8,6644.88,6524.06
A,8,7040,6912.00
A# Bb,8,7458.62,7323.01
B,8,7902.13,7758.46
