word,category,tonic,syllables
y,conjunción,1,y
e,conjunción,1,e
o,conjunción,1,o
u,conjunción,1,u
ni,conjunción,1,ni
pero,conjunción,1,pe ro
mas,conjunción,1,mas
sino,conjunción,1,si no
aunque,conjunción,1,aun que
porque,conjunción,1,por que
pues,conjunción,1,pues
ya,conjunción,1,ya
que,conjunción,1,que
si,conjunción,1,si
como,conjunción,1,co mo
donde,conjunción,1,don de
cuando,conjunción,1,cuan do
mientras,conjunción,1,mien tras
tan,conjunción,1,tan
tanto,conjunción,1,tan to
cuanto,conjunción,1,cuan to
aunque,conjunción,1,aun que
así,conjunción,2,a sí
luego,conjunción,1,lue go
entonces,conjunción,2,en ton ces
porque,conjunción,1,por que
aunque,conjunción,1,aun que
si bien,conjunción,2,si bien
o bien,conjunción,2,o bien
ya sea,conjunción,2,ya se a
sea,conjunción,1,se a
