word,category,tonic,syllables
a,preposición,1,a
ante,preposición,1,an te
bajo,preposición,1,ba jo
cabe,preposición,1,ca be
con,preposición,1,con
contra,preposición,1,con tra
de,preposición,1,de
desde,preposición,1,des de
durante,preposición,2,du ran te
en,preposición,1,en
entre,preposición,1,en tre
hacia,preposición,1,ha cia
hasta,preposición,1,has ta
mediante,preposición,2,me dian te
para,preposición,1,pa ra
por,preposición,1,por
según,preposición,2,se gún
sin,preposición,1,sin
so,preposición,1,so
sobre,preposición,1,so bre
tras,preposición,1,tras
versus,preposición,1,ver sus
vía,preposición,1,ví a
